"","address","list_price","bed","bathroom","sq_footage","hunter_mins","stewart_mins","num_acres","HOA_price","price_value","bed_value","bathroom_value","footage_value","hunter_time_value","stewart_time_value","acres_value","HOA_value","value","latitude","longitude","price_category","value_category","value_per_dollar"
"178","2402 Alabama Ave, Savannah, GA 31404",125000,2,1,828,NA,62,0.18,0,0.941176470588235,0.25,0.25,0.0647668393782384,NA,NA,0.119047619047619,0.928571428571429,0.389481416683489,32.05096,-81.05506,"low","low",0.000311585133346791
"179","803 W 50th St, Savannah, GA 31405",83000,3,1,1136,NA,52,0.1,0,0.960629921259843,0.5,0.25,0.107758620689655,NA,NA,0.1,0.928571428571429,0.463748320644872,32.04969,-81.11405,"low","low",0.000558732916439605
"180","1920 Utah St, Savannah, GA 31404",179900,2,1,827,NA,59,0.14,0,0.833887043189369,0.25,0.25,0.0646830530401035,NA,NA,0.108695652173913,0.928571428571429,0.388525094906219,32.06692,-81.05978,"med","low",0.000215967256757209
"181","2304 New York Ave, Savannah, GA 31404",125000,2,1,792,NA,62,0.12,0,0.941176470588235,0.25,0.25,0.0618811881188119,NA,NA,0.104166666666667,0.928571428571429,0.387603938965325,32.05191,-81.0564,"low","low",0.00031008315117226
"182","39 Grove Park Dr #6, Richmond Hill, GA 31324",248900,3,3,1749,NA,NA,NA,1200,0.0848896434634974,0.5,0.75,0.856733524355301,NA,NA,NA,0.0263157894736842,0.479241441713165,31.86018,-81.20143,"high","med",0.000192543769270054
"183","12 Spring Lake Cir, Pt Wentworth, GA 31407",190000,3,2,1355,40,53,NA,532,0.75,0.5,0.5,0.204081632653061,0.365079365079365,0.452054794520548,NA,0.0886524822695036,0.35238838564669,32.17377,-81.24406,"med","low",0.000185467571392995
"184","718 Westridge Ct, Hinesville, GA 31313",115000,3,2,1120,NA,12,0.45,0,0.947368421052632,0.5,0.5,0.104166666666667,NA,NA,0.333333333333333,0.928571428571429,0.529761904761905,31.81651,-81.61809,"low","med",0.000460662525879917
"185","933 Greenbriar Trl, Hinesville, GA 31313",140000,3,2,1330,56,12,0.18,0,0.928571428571429,0.5,0.5,0.185185185185185,0.111111111111111,0.232876712328767,0.119047619047619,0.928571428571429,0.384344825364612,31.81855,-81.60672,"low","low",0.00027453201811758
"186","200 Lindsey Dr, Richmond Hill, GA 31324",179900,3,2,1126,41,32,0.57,0,0.833887043189369,0.5,0.5,0.105485232067511,0.349206349206349,0.438356164383562,0.705882352941176,0.928571428571429,0.495247832931476,31.92223,-81.38298,"med","med",0.000275290624197596
"187","501 Amsonia Cir, Guyton, GA 31312",210000,3,2,1505,44,59,NA,700,0.25,0.5,0.5,0.523809523809524,0.301587301587302,0.397260273972603,NA,0.0555555555555556,0.359553867208984,32.19006,-81.27557,"high","low",0.000171216127242373
"188","7015 State Highway 17 S, Bloomingdale, GA 31302",225000,3,1,1176,39,51,1.25,0,0.142857142857143,0.5,0.25,0.117924528301887,0.380952380952381,0.465753424657534,0.941176470588235,0.928571428571429,0.493544978371579,32.14992,-81.34132,"high","med",0.000219353323720702
"189","196 Gloucester Dr, Midway, GA 31320",174900,4,2,1956,42,20,NA,NA,0.857549857549858,0.75,0.5,0.910071942446043,0.333333333333333,0.424657534246575,NA,NA,0.548389272926082,31.79743,-81.43756,"med","med",0.000313544467081808
"190","196 Gloucester Dr, Midway, GA 31320",174900,4,2,1956,42,20,NA,NA,0.857549857549858,0.75,0.5,0.910071942446043,0.333333333333333,0.424657534246575,NA,NA,0.548389272926082,31.79743,-81.43756,"med","med",0.000313544467081808
"191","1016 Farr Ct, Hinesville, GA 31313",135500,4,2,1400,57,13,NA,NA,0.932885906040268,0.75,0.5,0.25,0.0952380952380953,0.219178082191781,NA,NA,0.342034759109123,31.81435,-81.60682,"low","low",0.000252424176464297
"192","169 Oak Harvest Rdg, Midway, GA 31320",180000,3,2,1348,42,30,NA,300,0.833333333333333,0.5,0.5,0.198412698412698,0.333333333333333,0.424657534246575,NA,0.5,0.412007725464615,31.84439,-81.38906,"med","low",0.000228893180813675
"193","910 Kings Rd, Hinesville, GA 31313",210000,3,3,2296,53,9,0.81,0,0.25,0.5,0.75,0.944196428571429,0.158730158730159,0.273972602739726,0.878048780487805,0.928571428571429,0.556055242582487,31.86552,-81.58612,"high","med",0.000264788210753565
"194","1209 Cypress Fall Cir, Hinesville, GA 31313",184500,3,3,1447,51,8,NA,300,0.803921568627451,0.5,0.75,0.326797385620915,0.19047619047619,0.301369863013699,NA,0.5,0.401153477775746,31.83599,-81.6322,"med","low",0.000217427359228047
"195","124 Austin Way, Savannah, GA 31419",235000,4,2,1695,24,40,NA,478,0.111111111111111,0.75,0.5,0.830508474576271,0.619047619047619,0.671232876712329,NA,0.109649122807018,0.572344319053003,31.97707,-81.25856,"high","med",0.000243550774065108
"196","80 Joshua Cir, Ellabell, GA 31308",163000,3,2,1309,41,36,NA,150,0.893617021276596,0.5,0.5,0.171821305841924,0.349206349206349,0.438356164383562,NA,0.875,0.481208029509408,32.12495,-81.50522,"med","med",0.000295219650005772
"197","1314 Dieter St, Savannah, GA 31404",128900,2,3,1056,NA,56,0.01,0,0.938347718865598,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05737,-81.07437,"low","med",0.000374094335132091
"198","2118 New Mexico St, Savannah, GA 31404",135000,3,1,1007,NA,59,0.14,0,0.933333333333333,0.5,0.25,0.0843170320404722,NA,NA,0.108695652173913,0.928571428571429,0.46027672745174,32.06711,-81.05397,"low","low",0.000340945724038326
"199","1308 Dieter St, Savannah, GA 31404",128900,2,3,1056,NA,56,0.01,0,0.938347718865598,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05755,-81.07431,"low","med",0.000374094335132091
"200","2219 Bartlett Dr, Savannah, GA 31404",145000,3,1,1292,NA,59,0.17,0,0.923076923076923,0.5,0.25,0.162337662337662,NA,NA,0.116279069767442,0.928571428571429,0.475151698196096,32.02719,-81.06371,"low","med",0.000327690826342135
"201","1317 E 57th St, Savannah, GA 31404",120000,2,1,792,NA,56,0.12,0,0.944444444444444,0.25,0.25,0.0618811881188119,NA,NA,0.104166666666667,0.928571428571429,0.387603938965325,32.03657,-81.08595,"low","low",0.000323003282471104
"202","2226 New York Ave, Savannah, GA 31404",179900,2,1,1121,NA,NA,0.14,0,0.833887043189369,0.25,0.25,0.104384133611691,NA,NA,0.108695652173913,0.928571428571429,0.395743473191962,32.05207,-81.05737,"med","low",0.000219979696048895
"203","256 Cumming St, Savannah, GA 31415",75000,2,1,875,23,51,NA,NA,0.962962962962963,0.25,0.25,0.0689655172413793,0.634920634920635,0.684931506849315,NA,NA,0.427314863908089,32.08168,-81.11621,"low","low",0.000569753151877452
"204","1304 Dieter St, Savannah, GA 31404",126900,2,3,1056,NA,56,0.01,0,0.939831528279182,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05763,-81.07428,"low","med",0.000379990226938743
"205","1303 Stubbs St, Savannah, GA 31404",128900,2,3,1056,NA,56,0.01,0,0.938347718865598,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05749,-81.07394,"low","med",0.000374094335132091
"206","1504 E Henry St, Savannah, GA 31404",151900,3,3,1504,NA,56,0.02,0,0.91394148020654,0.5,0.75,0.519230769230769,NA,NA,0.0862068965517241,0.928571428571429,0.628216610975232,32.05718,-81.07445,"low","high",0.000413572489121285
"207","1312 Dieter St, Savannah, GA 31404",126900,2,3,1056,NA,56,0.01,0,0.939831528279182,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05741,-81.07436,"low","med",0.000379990226938743
"208","711 W 46th St, Savannah, GA 31405",135000,2,1,851,NA,52,0.07,0,0.933333333333333,0.25,0.25,0.0667556742323098,NA,NA,0.0943396226415094,0.928571428571429,0.387596841529129,32.05242,-81.11187,"low","low",0.000287108771503058
"209","1310 Dieter St, Savannah, GA 31404",128900,2,3,1056,NA,56,0.01,0,0.938347718865598,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05745,-81.07434,"low","med",0.000374094335132091
"210","1306 Dieter St, Savannah, GA 31404",126900,2,3,1056,NA,56,0.01,0,0.939831528279182,0.25,0.75,0.0919117647058824,NA,NA,0.0847457627118644,0.928571428571429,0.482207597985265,32.05759,-81.07429,"low","med",0.000379990226938743
